OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
1,RAIL103,Rutherglen - Dalmarnock,1358.791061229999968,0.000000000000000,0.000000000000000,0.000000000000000,0.012640001426485,0.013154776871977
2,RAIL106,Argyle Street - Glasgow Central,476.481200039999976,0.000000000000000,0.000000000000000,0.000000000000000,0.007522007426134,0.007522007426134
3,RAIL125,Kirkconnel - Sanquhar,5395.133892169999854,0.000000000000000,0.000000000000000,0.000000000000000,0.078701048239493,0.078701048239493
4,RAIL131,Maryhill - Westerton,3041.873972559999856,0.000000000000000,0.000000000000000,0.000000000000000,0.041974143132813,0.041974143132813
5,RAIL151,Motherwell - Shieldmuir,3332.975856389999990,0.000000000000000,0.000000000000000,0.000000000000000,0.046796385857627,0.046796385857627
6,RAIL174,Glenrothes with Thornton - Kirkcaldy,8052.553715359999842,0.000000000000000,0.000000000000000,0.000000000000000,0.094810788179610,0.094810788179611
7,RAIL222,Stirling - Alloa,10831.418671499999618,0.000000000000000,0.000000000000000,0.000000000000000,0.157433724965211,0.158581653614232
8,RAIL283,Kings Park - Mount Florida,1496.404793440000049,0.000000000000000,0.000000000000000,0.000000000000000,0.019633306223992,0.019633306223992
9,RAIL470,Eskbank - Shawfair,7037.378350609999870,0.000000000000000,0.000000000000000,0.000000000000000,0.067749557231105,0.067749557231105
10,RAIL471,Shawfair - Newcraighall,1668.454283880000048,0.000000000000000,0.000000000000000,0.000000000000000,0.017972766656496,0.017972766656496
11,RAIL504,Leuchars - Cupar,10121.912472500000149,0.000000000000000,0.000000000000000,0.000000000000000,0.134071599831609,0.134071599831609
12,RAIL519,Glasgow Queen Street - Charing Cross (Glasgow),1180.868805000000066,0.000000000000000,0.000000000000000,0.000000000000000,0.018576191623766,0.018576191623766
13,RAIL520,Charing Cross (Glasgow) - Partick,2778.688599520000025,0.000000000000000,0.000000000000000,0.000000000000000,0.040847387914760,0.041121493870250
14,RAIL521,Haymarket - Slateford,2747.733678930000224,0.000000000000000,0.000000000000000,0.000000000000000,0.033035894450131,0.033035894450131
15,RAIL574,Dalmuir - Clydebank,2221.126635829999941,0.000000000000000,0.000000000000000,0.000000000000000,0.029415908598044,0.029667021503628
16,RAIL641,Lochwinnoch - Glengarnock,6555.801377060000050,0.000000000000000,0.000000000000000,0.000000000000000,0.076737825729638,0.076737825729638
17,RAIL751,Baillieston - Bargeddie,2641.193897610000022,0.000000000000000,0.000000000000000,0.000000000000000,0.040641291878283,0.040641291878283
18,RAIL752,Bargeddie - Kirkwood,1645.780016579999938,0.000000000000000,0.000000000000000,0.000000000000000,0.025695392248371,0.025695392248371
19,RAIL808,Camelon - Cumbernauld,13873.434270300000207,0.000000000000000,0.000000000000000,0.000000000000000,0.186876315426902,0.186876315426901
20,RAIL85,Airbles - Motherwell,1446.837885550000010,0.000000000000000,0.000000000000000,0.000000000000000,0.014551052617789,0.014551052617789
21,RAIL935,Larbert - Cumbernauld,14481.520576799999617,0.000000000000000,0.000000000000000,0.000000000000000,0.185126047217809,0.185288805396008
22,RAIL1,Edinburgh - Haymarket,2038.853547129999924,0.000000000000000,0.000000000000000,0.000000000000000,0.030791205615887,0.030791205615887
23,RAIL10,Bridge of Allan - Stirling,4560.475059340000371,0.000000000000000,0.000000000000000,0.000000000000000,0.047840530177324,0.048546767874369
